SNo,Movie Name,Genres,Synopsis,Director,Rating,Release Date (Theaters),Release Date (Streaming),Runtime,Box Office,Critic Score,Critic Reviews,Audience Score,Audience Reviews
13,SLEEP,"Mystery & Thriller, Horror, Comedy","SLEEP follows newlyweds Hyun-su (Lee Sun-kyun, PARASITE) and Soo-jin (Jung Yu-mi), whose domestic bliss is disrupted when Hyun-su begins speaking in his sleep, ominously stating, ""Someone's inside.""  From that night on, whenever he falls asleep, Hyun-su transforms into someone else, with no recollection of what happened the night before. Overwhelmed with anxiety that he may hurt himself or their young family, Soo-jin can barely sleep because of this irrational fear. Despite treatment, Hyun-su's sleepwalking only intensifies, and Soo-jin begins to feel that her unborn child may be in danger.",Jason Yu,N/A,"Sep 27, 2024, Limited","Sep 27, 2024",1h 34m,N/A,,N/A,,N/A
14,CUCKOO,"Horror, Mystery & Thriller","Reluctantly, 17-year-old Gretchen leaves her American home to live with her father, who has just moved into a resort in the German Alps with his new family. Arriving at their future residence, they are greeted by Mr. König, her father's boss, who takes an inexplicable interest in Gretchen's mute half-sister Alma. Something doesn't seem right in this tranquil vacation paradise. Gretchen is plagued by strange noises and bloody visions until she discovers a shocking secret that also concerns her own family.",Tilman Singer,R (Language|Brief Teen Drug Use|Bloody Images|Violence),"Aug 9, 2024, Wide","Sep 17, 2024",1h 42m,$6.2M,,N/A,,N/A
15,HIT MAN,"Romance, Comedy, Action, Crime, Mystery & Thriller","Oscar-nominated director Richard Linklater's sunlit neo-noir stars Glen Powell as strait-laced professor Gary Johnson, who moonlights as a fake hit man for the New Orleans Police Department. Preternaturally gifted at inhabiting different guises and personalities to catch hapless people hoping to bump off their enemies, Gary descends into morally dubious territory when he finds himself attracted to one of those potential criminals, a beautiful young woman named Madison (Adria Arjona). As Madison falls for one of Gary's hit man personas -- the mysteriously sexy Ron -- their steamy affair sets off a chain reaction of play acting, deception, and escalating stakes.",Richard Linklater,R (Sexual Content|Language Throughout|Some Violence),"May 24, 2024, Limited","Jun 7, 2024",1h 53m,N/A,,N/A,,N/A
16,THE FALL GUY,"Action, Romance, Comedy, Drama","He's a stuntman, and like everyone in the stunt community, he gets blown up, shot, crashed, thrown through windows and dropped from the highest of heights, all for our entertainment. And now, fresh off an almost career-ending accident, this working-class hero has to track down a missing movie star, solve a conspiracy and try to win back the love of his life while still doing his day job. What could possibly go right?",David Leitch,PG-13 (Drug Content|Action and Violence|Some Strong Language),"May 3, 2024, Wide","May 21, 2024",2h 6m,$92.8M,,N/A,,N/A
17,CHALLENGERS,Drama,"From visionary filmmaker Luca Guadagnino, Challengers stars Zendaya as Tashi Duncan, a former tennis prodigy turned coach and a force of nature who makes no apologies for her game on and off the court. Married to a champion on a losing streak (Mike Faist - West Side Story), Tashi's strategy for her husband's redemption takes a surprising turn when he must face off against the washed-up Patrick (Josh O'Connor - The Crown) -- his former best friend and Tashi's former boyfriend. As their pasts and presents collide, and tensions run high, Tashi must ask herself, what will it cost to win.",Luca Guadagnino,R (Language Throughout|Graphic Nudity|Some Sexual Content),"Apr 26, 2024, Wide","May 17, 2024",2h 11m,$50.1M,,N/A,,N/A
18,A QUIET PLACE: DAY ONE,"Horror, Sci-Fi, Mystery & Thriller",Experience the day the world went quiet.,Michael Sarnoski,PG-13 (Violent Content/Bloody Images|Terror),"Jun 28, 2024, Wide","Jul 30, 2024",1h 40m,$138.9M,,N/A,,N/A
19,LATE NIGHT WITH THE DEVIL,"Horror, Mystery & Thriller","Johnny Carson rival Jack Delroy hosts a syndicated talk show 'Night Owls' that has long been a trusted companion to insomniacs around the country. However, ratings for the show have plummeted since the tragic death of Jack's beloved wife. Desperate to turn his fortunes around, on October 31st, 1977, Jack plans a Halloween special like no other--unaware he is about to unleash evil into the living rooms of America.",Colin Cairnes,R (Language|A Sexual Reference|Some Gore|Violent Content),"Mar 22, 2024, Wide","Apr 19, 2024",1h 33m,$10.0M,,N/A,,N/A
20,TWISTERS,"Action, Adventure, Mystery & Thriller","Daisy Edgar-Jones stars as Kate Cooper, a former storm chaser haunted by a devastating encounter with a tornado during her college years who now studies storm patterns on screens safely in New York City. She is lured back to the open plains by her friend, Javi (Golden Globe nominee Anthony Ramos, In the Heights) to test a groundbreaking new tracking system. There, she crosses paths with Tyler Owens (Glen Powell), the charming and reckless social-media superstar who thrives on posting his storm-chasing adventures with his raucous crew, the more dangerous the better. As storm season intensifies, terrifying phenomena never seen before are unleashed, and Kate, Tyler and their competing teams find themselves squarely in the paths of multiple storm systems converging over central Oklahoma in the fight of their lives.",Lee Isaac Chung,PG-13 (Intense Action and Peril|Injury Images|Some Language),"Jul 19, 2024, Wide","Aug 13, 2024",2h 2m,$267.2M,,N/A,,N/A
21,THE TEXAS CHAIN SAW MASSACRE,"Horror, Mystery & Thriller","When Sally (Marilyn Burns) hears that her grandfather's grave may have been vandalized, she and her paraplegic brother, Franklin (Paul A. Partain), set out with their friends to investigate. After a detour to their family's old farmhouse, they discover a group of crazed, murderous outcasts living next door. As the group is attacked one by one by the chainsaw-wielding Leatherface (Gunnar Hansen), who wears a mask of human skin, the survivors must do everything they can to escape.",Tobe Hooper,R,"Oct 1, 1974, Wide","Dec 30, 2014",1h 23m,N/A,,N/A,,N/A
22,SPEAK NO EVIL,"Horror, Mystery & Thriller, Drama","On a vacation in Tuscany, two families -- one Danish, one Dutch -- meet and become fast friends. Months later, the free-spirited Dutch family extends an invitation to the more conservative Danish one for a holiday weekend getaway at their countryside home. However, it doesn't take long before things gradually get out of hand as the joy of reunion is replaced with misunderstandings. The Dutch hospitality quickly turns unnerving for the Danes, and they find themselves increasingly caught in a web of their own politeness in the face of eccentric... or is it sinister... behavior.",Christian Tafdrup,N/A,"Sep 9, 2022, Limited","Sep 15, 2022",1h 38m,N/A,,N/A,,N/A
22,SPEAK NO EVIL,"Horror, Mystery & Thriller, Drama","On a vacation in Tuscany, two families -- one Danish, one Dutch -- meet and become fast friends. Months later, the free-spirited Dutch family extends an invitation to the more conservative Danish one for a holiday weekend getaway at their countryside home. However, it doesn't take long before things gradually get out of hand as the joy of reunion is replaced with misunderstandings. The Dutch hospitality quickly turns unnerving for the Danes, and they find themselves increasingly caught in a web of their own politeness in the face of eccentric... or is it sinister... behavior.",Christian Tafdrup,N/A,"Sep 9, 2022, Limited","Sep 15, 2022",1h 38m,N/A,,N/A,,N/A
23,EVIL DEAD RISE,"Horror, Mystery & Thriller, Fantasy","In the fifth Evil Dead film, a road-weary Beth pays an overdue visit to her older sister Ellie, who is raising three kids on her own in a cramped L.A apartment. The sisters' reunion is cut short by the discovery of a mysterious book deep in the bowels of Ellie's building, giving rise to flesh-possessing demons, and thrusting Beth into a primal battle for survival as she is faced with the most nightmarish version of motherhood imaginable.",Lee Cronin,R (Some Language|Gore|Strong Bloody Horror Violence),"Apr 21, 2023, Wide","May 9, 2023",1h 36m,$67.2M,,N/A,,N/A
24,BETWEEN THE TEMPLES,"Comedy, Drama, Romance","In BETWEEN THE TEMPLES, Ben (Jason Schwartzman) is a forty-something cantor losing his voice and possibly his faith. Struggling to meet the expectations of his rabbi, congregation, and not one but two Jewish mothers (Caroline Aaron and Dolly De Leon), Ben finds his world turned upside down when his grade school music teacher re-enters his life as an adult bat mitzvah student. This warm and anxious comedy from prolific writer/director Nathan Silver explores the complexities of belief, connection, and what it means to be a real mensch.",Nathan Silver,R (Language|Some Sexual References),"Aug 23, 2024, Limited","Sep 24, 2024",1h 51m,$2.0M,,N/A,,N/A
25,THE BATMAN,"Action, Adventure, Crime, Drama","Batman ventures into Gotham City's underworld when a sadistic killer leaves behind a trail of cryptic clues. As the scale of the perpetrator's plans become clear, he must bring justice to the abuse of power and corruption that plagues the metropolis.",Matt Reeves,PG-13 (Some Suggestive Material|Drug Content|Strong Disturbing Content|Strong Language|Strong Violent Content),"Mar 4, 2022, Wide","Apr 19, 2022",2h 56m,$369.3M,,N/A,,N/A
26,STRANGE DARLING,"Mystery & Thriller, Horror","In Strange Darling, nothing is what it seems when a twisted one-night stand spirals into a serial killer's vicious murder spree.",JT Mollner,R (Sexual Material|Language|Drug Use|Strong/Bloody Violent Content),"Aug 23, 2024, Limited","Oct 1, 2024",1h 36m,N/A,,N/A,,N/A
27,BEETLEJUICE,"Comedy, Fantasy","After Barbara (Geena Davis) and Adam Maitland (Alec Baldwin) die in a car accident, they find themselves stuck haunting their country residence, unable to leave the house. When the unbearable Deetzes (Catherine O'Hara, Jeffrey Jones) and teen daughter Lydia (Winona Ryder) buy the home, the Maitlands attempt to scare them away without success. Their efforts attract Beetlejuice (Michael Keaton), a rambunctious spirit whose ""help"" quickly becomes dangerous for the Maitlands and innocent Lydia.",Tim Burton,PG,"Mar 30, 1988, Wide","Aug 15, 2008",1h 32m,$73.5M,,N/A,,N/A
